Year,Month,GDP_nominal,GDP_real,Price_index
1968,12,-45.159341868474115,-4515.934186847411,1
1969,1,-36.986145506330004,-3698.6145506330004,1
1969,2,-44.38362804400434,-4438.362804400434,1
1969,3,-35.2919426912036,-3529.1942691203603,1
1969,4,-41.91024265763399,-4191.024265763399,1
1969,5,-48.49468115300252,-4849.468115300252,1
1969,6,-62.07741138701479,-6207.741138701479,1
1969,7,-55.53658656937755,-5553.658656937755,1
1969,8,-51.82835990979788,-5182.835990979788,1
1969,9,-65.71188461798064,-6571.188461798064,1
1969,10,-68.95931390363369,-6895.931390363368,1
1969,11,-83.53380097646286,-8353.380097646286,1
1969,12,-89.84249904617438,-8984.249904617438,1
1970,1,-113.96856132247558,-11396.856132247558,1
1970,2,-98.75414101507202,-9875.414101507202,1
1970,3,-113.0573913336703,-11305.73913336703,1
1970,4,-107.69346548797714,-10769.346548797714,1
1970,5,-128.23551668769812,-12823.551668769813,1
1970,6,-128.81969814254083,-12881.969814254084,1
1970,7,-124.55116306221112,-12455.116306221113,1
1970,8,-131.98630844820786,-13198.630844820786,1
1970,9,-158.06317914959388,-15806.317914959387,1
1970,10,-159.45062813571087,-15945.062813571087,1
1970,11,-168.5045806105041,-16850.45806105041,1
1970,12,-170.60196177792028,-17060.19617779203,1
1971,1,-155.7656968419055,-15576.56968419055,1
1971,2,-169.04171100640554,-16904.171100640553,1
1971,3,-160.53192947536644,-16053.192947536643,1
1971,4,-173.34327745273492,-17334.32774527349,1
1971,5,-172.70968014245733,-17270.968014245733,1
1971,6,-168.9410627484798,-16894.106274847978,1
1971,7,-188.49535047474728,-18849.53504747473,1
1971,8,-179.5984685252065,-17959.846852520648,1
1971,9,-181.12834210380447,-18112.834210380446,1
1971,10,-204.30889641448627,-20430.889641448626,1
1971,11,-203.02105666119905,-20302.105666119904,1
1971,12,-174.18574804788844,-17418.574804788845,1
1972,1,-171.8048957785002,-17180.48957785002,1
1972,2,-190.3114250569812,-19031.14250569812,1
1972,3,-172.77026108727736,-17277.026108727736,1
1972,4,-169.68332907333487,-16968.332907333486,1
1972,5,-166.00655421909954,-16600.655421909953,1
1972,6,-179.61586172851725,-17961.586172851723,1
1972,7,-177.1031768055354,-17710.31768055354,1
1972,8,-155.38142465409962,-15538.142465409961,1
1972,9,-160.63853047815502,-16063.853047815503,1
